
These predictions were generated by HydroDyn on 12-Aug-2019 at 11:27:38.




    Time            Wave1Elev              M1N1Vxi              M1N1Vzi              M1N1Axi              M1N1Azi             M1N1FDxi             M1N1FDzi             M1N1FIxi             M1N1FIzi             M1N1FAxi             M1N1FAzi
   (sec)                  (m)                (m/s)                (m/s)              (m/s^2)              (m/s^2)                (N/m)                (N/m)                (N/m)                (N/m)                (N/m)                (N/m)
    2.8250          -8.0884E-01          -8.3253E-01          -7.3878E-01          -5.8868E-01           4.1247E-01          -1.0298E+02           6.4979E+01          -5.9885E+03           3.7788E+03           0.0000E+00           0.0000E+00
    2.8500          -8.6987E-01          -8.4685E-01          -7.2809E-01          -5.8017E-01           4.1957E-01          -1.1516E+02           7.2666E+01          -5.9600E+03           3.7608E+03           0.0000E+00           0.0000E+00
    2.8750          -9.3090E-01          -8.6118E-01          -7.1740E-01          -5.7165E-01           4.2666E-01          -1.2802E+02           8.0783E+01          -5.9315E+03           3.7428E+03           0.0000E+00           0.0000E+00
    2.9000          -9.9194E-01          -8.7550E-01          -7.0671E-01          -5.6313E-01           4.3376E-01          -1.4157E+02           8.9330E+01          -5.9030E+03           3.7249E+03           0.0000E+00           0.0000E+00
    2.9250          -1.0530E+00          -8.8982E-01          -6.9603E-01          -5.5462E-01           4.4085E-01          -1.5579E+02           9.8306E+01          -5.8745E+03           3.7069E+03           0.0000E+00           0.0000E+00
    2.9500          -1.1140E+00          -9.0414E-01          -6.8534E-01          -5.4610E-01           4.4795E-01          -1.7070E+02           1.0771E+02          -5.8460E+03           3.6889E+03           0.0000E+00           0.0000E+00
    2.9750          -1.1750E+00          -9.1846E-01          -6.7465E-01          -5.3758E-01           4.5504E-01          -1.8629E+02           1.1755E+02          -5.8175E+03           3.6709E+03           0.0000E+00           0.0000E+00
    3.0000          -1.2361E+00          -9.3278E-01          -6.6396E-01          -5.2907E-01           4.6214E-01          -2.0255E+02           1.2781E+02          -5.7890E+03           3.6529E+03           0.0000E+00           0.0000E+00
    3.0250          -1.2941E+00          -9.4480E-01          -6.5164E-01          -5.1925E-01           4.6810E-01          -2.1847E+02           1.3785E+02          -5.7463E+03           3.6260E+03           0.0000E+00           0.0000E+00
    3.0500          -1.3520E+00          -9.5683E-01          -6.3931E-01          -5.0943E-01           4.7405E-01          -2.3498E+02           1.4827E+02          -5.7035E+03           3.5990E+03           0.0000E+00           0.0000E+00
    3.0750          -1.4100E+00          -9.6885E-01          -6.2699E-01          -4.9961E-01           4.8001E-01          -2.5209E+02           1.5907E+02          -5.6608E+03           3.5720E+03           0.0000E+00           0.0000E+00
